Date 	Day	Month	Year	Quarter	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 	Quarter22
12-11-2024 00:00	Tuesday	November	2024	Q4	EQ	3650	3651	3580	3628.85	3585.05	3591.35	3612.49	3919.9	3031.05	1116206	4032282496	95427	4
11-11-2024 00:00	Monday	November	2024	Q4	EQ	3646	3661	3606	3660.3	3625	3628.85	3640.18	3919.9	3031.05	926127	3371267443	104290	4
08-11-2024 00:00	Friday	November	2024	Q4	EQ	3640.4	3667	3620.65	3646.55	3650.05	3660.3	3656.21	3919.9	2927.25	1622142	5930893373	125639	4
07-11-2024 00:00	Thursday	November	2024	Q4	EQ	3647.35	3663	3620	3645.45	3642	3646.55	3643.1	3919.9	2927.25	1581009	5759776547	97553	4
06-11-2024 00:00	Wednesday	November	2024	Q4	EQ	3594	3659.9	3557.4	3574.8	3648	3645.45	3622.22	3919.9	2927.25	1819732	6591465491	137085	4
05-11-2024 00:00	Tuesday	November	2024	Q4	EQ	3556	3585	3541.9	3574.45	3566	3574.8	3562.86	3919.9	2927.25	1251506	4458941639	137797	4
04-11-2024 00:00	Monday	November	2024	Q4	EQ	3624.95	3624.95	3530.9	3626.35	3575.9	3574.45	3568.33	3919.9	2927.25	1724189	6152478903	182630	4
01-11-2024 00:00	Friday	November	2024	Q4	EQ	3624.95	3641.9	3620	3622.3	3627	3626.35	3630.71	3919.9	2856.15	212796	772600597.4	21833	4
31-10-2024 00:00	Thursday	October	2024	Q4	EQ	3530	3654.95	3508.35	3408.35	3620.75	3622.3	3615.13	3919.9	2856.15	7637083	27609020402	368713	4
30-10-2024 00:00	Wednesday	October	2024	Q4	EQ	3379.95	3438.4	3353	3380.9	3402	3408.35	3407.65	3919.9	2856.15	1785128	6083090228	108896	4
29-10-2024 00:00	Tuesday	October	2024	Q4	EQ	3316	3384.4	3316	3340.8	3381.9	3380.9	3363.3	3919.9	2856.15	2253467	7579088509	138485	4
28-10-2024 00:00	Monday	October	2024	Q4	EQ	3316	3373	3262.55	3326.4	3360	3340.8	3320.79	3919.9	2856.15	2991674	9934727536	206122	4
25-10-2024 00:00	Friday	October	2024	Q4	EQ	3425	3435	3315.05	3442.65	3337	3326.4	3343.8	3919.9	2856.15	3236774	10823121243	256194	4
24-10-2024 00:00	Thursday	October	2024	Q4	EQ	3444	3474.6	3416.75	3455.4	3449.9	3442.65	3440.98	3919.9	2856.15	1924421	6621896970	139822	4
23-10-2024 00:00	Wednesday	October	2024	Q4	EQ	3501.05	3513.95	3443	3511.9	3449	3455.4	3478.9	3919.9	2856.15	2125268	7393598650	173225	4
22-10-2024 00:00	Tuesday	October	2024	Q4	EQ	3585	3591.65	3500	3585.6	3504	3511.9	3531.83	3919.9	2856.15	1363574	4815905253	125455	4
21-10-2024 00:00	Monday	October	2024	Q4	EQ	3580	3621.95	3571.3	3577.8	3577	3585.6	3595.64	3919.9	2856.15	1750549	6294352702	162386	4
18-10-2024 00:00	Friday	October	2024	Q4	EQ	3569.95	3592.45	3540.25	3570.3	3579.25	3577.8	3575.1	3919.9	2856.15	2102609	7517044754	210857	4
17-10-2024 00:00	Thursday	October	2024	Q4	EQ	3549.9	3583	3521.8	3532.6	3566	3570.3	3555.58	3919.9	2856.15	2968537	10554879516	194714	4
16-10-2024 00:00	Wednesday	October	2024	Q4	EQ	3550	3581.9	3513.55	3551.9	3531	3532.6	3536.55	3919.9	2856.15	1961835	6938125640	109635	4
15-10-2024 00:00	Tuesday	October	2024	Q4	EQ	3570	3570	3520.15	3555.05	3545	3551.9	3545.95	3919.9	2856.15	1231552	4367018656	86576	4
14-10-2024 00:00	Monday	October	2024	Q4	EQ	3510	3573.85	3501.3	3482.55	3552.75	3555.05	3550.86	3919.9	2856.15	1974378	7010736483	101616	4
11-10-2024 00:00	Friday	October	2024	Q4	EQ	3469.4	3497.1	3447	3460.35	3491.9	3482.55	3479.84	3919.9	2856.15	1280465	4455814669	95819	4
10-10-2024 00:00	Thursday	October	2024	Q4	EQ	3515	3554.9	3455.5	3487.1	3461.85	3460.35	3491.73	3919.9	2856.15	2686116	9379183253	165856	4
09-10-2024 00:00	Wednesday	October	2024	Q4	EQ	3542.05	3557.7	3481	3532.4	3491.8	3487.1	3516.48	3919.9	2856.15	1645791	5787387384	154726	4
08-10-2024 00:00	Tuesday	October	2024	Q4	EQ	3492.95	3538.5	3469	3468.35	3533.1	3532.4	3511.48	3919.9	2856.15	2249452	7898900834	153720	4
07-10-2024 00:00	Monday	October	2024	Q4	EQ	3505	3512.95	3429	3493.95	3475	3468.35	3461.8	3919.9	2856.15	2304227	7976771661	170269	4
04-10-2024 00:00	Friday	October	2024	Q4	EQ	3515	3553.55	3468.5	3497.65	3505	3493.95	3499.42	3919.9	2856.15	3445879	12058561848	243711	4
03-10-2024 00:00	Thursday	October	2024	Q4	EQ	3582.5	3617	3485.4	3653.5	3505.5	3497.65	3535.43	3919.9	2856.15	5315877	18793904808	402180	4
01-10-2024 00:00	Tuesday	October	2024	Q4	EQ	3667	3724	3639.35	3675.55	3647	3653.5	3672.74	3919.9	2856.15	1674100	6148527670	109900	4
30-09-2024 00:00	Monday	September	2024	Q3	EQ	3699	3715.65	3665	3705.65	3680	3675.55	3677.99	3919.9	2856.15	1837697	6759038580	132958	3
27-09-2024 00:00	Friday	September	2024	Q3	EQ	3738	3738	3651	3762.15	3705	3705.65	3698.43	3919.9	2856.15	4095425	15146633647	244106	3
26-09-2024 00:00	Thursday	September	2024	Q3	EQ	3801	3802.95	3736.4	3793.85	3760	3762.15	3766.72	3919.9	2856.15	2750597	10360735142	154596	3
25-09-2024 00:00	Wednesday	September	2024	Q3	EQ	3787.55	3813.2	3778	3791.6	3793	3793.85	3793.35	3919.9	2856.15	2113862	8018617548	126389	3
24-09-2024 00:00	Tuesday	September	2024	Q3	EQ	3787.7	3831.8	3775	3787.7	3792.9	3791.6	3808	3919.9	2856.15	2676546	10192281539	147710	3
23-09-2024 00:00	Monday	September	2024	Q3	EQ	3800	3838.8	3749	3793.9	3785	3787.7	3779.3	3919.9	2856.15	1937874	7323809213	133184	3
20-09-2024 00:00	Friday	September	2024	Q3	EQ	3700	3809.9	3680.25	3683.7	3793	3793.9	3773.54	3919.9	2846.05	5401701	20383510293	252442	3
19-09-2024 00:00	Thursday	September	2024	Q3	EQ	3750	3750.4	3674	3730.45	3689	3683.7	3693.71	3919.9	2846.05	1711564	6322017895	122388	3
18-09-2024 00:00	Wednesday	September	2024	Q3	EQ	3689	3757.95	3684.2	3695.2	3726.05	3730.45	3729.67	3919.9	2846.05	2249929	8391486010	107286	3
